,account_name,inv_horizon,inv_obj_least_imp,inv_obj_most_imp,inv_obj_some_imp,inv_obj_very_imp,investment_amt,liquidity_need,model_id,model_name,primary_fin_need,risk_profile,risk_tolerance,volatility
196,Amanda Mccormick,Less than 2 Years,0,4,1,3,889826,Over 20 Years,197,Speculation Strategy 197,Retirement,6,1,18.58
197,Joanna Rivera,6 to 10 Years,4,1,2,3,943880,2 to 5 Years,198,Income Strategy 198,Education Planning,2,1,24.81
198,Holly Mcdonald,11 to 20 Years,3,2,1,4,268489,Over 20 Years,199,Aggressive Income Strategy 199,Education Planning,4,1,21.55
199,Ryan Owens,Immediate,2,3,0,0,582608,Over 20 Years,200,Capital Appreciation Strategy 200,Current Income,4,1,20.91
200,Pamela Gray,Immediate,0,3,1,0,273139,Lump Sum,201,Capital Appreciation Strategy 201,Estate/Legacy Planning,4,1,24.86
201,Patrick Williamson,11 to 20 Years,0,2,0,3,769538,2 to 5 Years,202,Aggressive Income Strategy 202,Health Care/Long Term Care,4,2,15.129999999999999
202,Timothy Hernandez,Immediate,0,4,3,2,615363,6 to 10 Years,203,Speculation Strategy 203,Major Purchase/Expense,6,2,23.56
203,Laurie Harris,2 to 5 Years,2,4,0,3,765259,6 to 10 Years,204,Speculation Strategy 204,Estate/Legacy Planning,6,1,16.39
204,Joseph Hill,2 to 5 Years,0,3,2,1,545912,Less than 2 Years,205,Capital Appreciation Strategy 205,Charitable,4,1,15.110000000000001
205,Shawn Mckay,Immediate,4,2,0,1,881329,2 to 5 Years,206,Aggressive Income Strategy 206,Estate/Legacy Planning,3,1,22.7
206,Rebecca Hale,2 to 5 Years,0,3,4,0,316341,2 to 5 Years,207,Capital Appreciation Strategy 207,Estate/Legacy Planning,4,1,31.430000000000003
207,Katie Berg,2 to 5 Years,0,2,3,4,968705,Over 20 Years,208,Aggressive Income Strategy 208,Major Purchase/Expense,4,1,27.55
208,Wendy Hall,11 to 20 Years,0,1,2,4,975141,Less than 2 Years,209,Income Strategy 209,Charitable,2,0,18.64
209,Heather Mcclure,Less than 2 Years,0,2,0,3,196163,6 to 10 Years,210,Aggressive Income Strategy 210,Education Planning,3,1,18.56
210,Christopher Watkins,11 to 20 Years,4,1,3,0,971838,6 to 10 Years,211,Income Strategy 211,Estate/Legacy Planning,1,0,26.369999999999997
211,Gregory Murphy,Over 20 Years,0,3,0,1,885370,2 to 5 Years,212,Capital Appreciation Strategy 212,Estate/Legacy Planning,5,2,9.76
212,Joseph Spencer,6 to 10 Years,0,1,0,4,301145,Over 20 Years,213,Income Strategy 213,Health Care/Long Term Care,2,1,27.639999999999997
213,Carmen Schultz,2 to 5 Years,0,2,4,0,691214,Less than 2 Years,214,Aggressive Income Strategy 214,Estate/Legacy Planning,3,2,20.64
214,Ashlee Owens,2 to 5 Years,0,1,0,4,32540,Over 20 Years,215,Income Strategy 215,Wealth Accumulation/Investment,2,0,35.49
215,Aaron Rivera,Over 20 Years,0,2,0,3,991290,11 to 20 Years,216,Aggressive Income Strategy 216,Health Care/Long Term Care,3,1,119.61999999999999
216,Katherine Mann,11 to 20 Years,0,4,2,3,972329,Over 20 Years,217,Speculation Strategy 217,Retirement,7,2,17.299999999999997
217,Elizabeth Stevens,6 to 10 Years,3,2,0,1,779643,Less than 2 Years,218,Aggressive Income Strategy 218,Current Income,3,1,20.09
218,Mark Rodriguez,11 to 20 Years,1,4,0,3,655093,11 to 20 Years,219,Speculation Strategy 219,Charitable,7,2,24.759999999999998
219,Thomas Garcia,Over 20 Years,0,2,4,0,871953,11 to 20 Years,220,Aggressive Income Strategy 220,Estate/Legacy Planning,3,1,14.45
220,Christopher Gonzalez,6 to 10 Years,1,3,4,0,739787,11 to 20 Years,221,Capital Appreciation Strategy 221,Charitable,5,2,13.84
221,Lori Ortiz,6 to 10 Years,0,1,3,4,402539,Lump Sum,222,Income Strategy 222,Major Purchase/Expense,2,1,19.46
222,Nicholas Silva,Over 20 Years,4,3,1,2,177904,Lump Sum,223,Capital Appreciation Strategy 223,Estate/Legacy Planning,5,2,31.490000000000002
223,Karen Day,Over 20 Years,0,4,1,2,604222,Over 20 Years,224,Speculation Strategy 224,Retirement,6,1,46.56
224,Patrick Burnett,Less than 2 Years,0,4,0,1,607724,Over 20 Years,225,Speculation Strategy 225,Education Planning,5,1,18.77
225,James Green,Less than 2 Years,0,4,3,1,779260,2 to 5 Years,226,Speculation Strategy 226,Education Planning,6,2,19.35
226,Cameron Lopez,6 to 10 Years,1,3,4,0,634932,Over 20 Years,227,Capital Appreciation Strategy 227,Charitable,5,2,21.89
227,Kathleen Joseph,Immediate,0,1,2,4,310140,2 to 5 Years,228,Income Strategy 228,Education Planning,2,0,16.61
228,Jennifer Perez,Over 20 Years,2,4,3,1,670415,Lump Sum,229,Speculation Strategy 229,Estate/Legacy Planning,5,1,28.15
229,Jennifer Calderon,Over 20 Years,4,3,0,1,781709,Lump Sum,230,Capital Appreciation Strategy 230,Retirement,5,2,161.09
230,Harold Thomas,11 to 20 Years,0,2,3,1,272798,11 to 20 Years,231,Aggressive Income Strategy 231,Major Purchase/Expense,4,2,23.84
231,Michael Powell,Less than 2 Years,0,3,1,2,929555,11 to 20 Years,232,Capital Appreciation Strategy 232,Health Care/Long Term Care,4,1,27.900000000000002
232,Andrew Tucker,Over 20 Years,2,3,4,0,550084,Over 20 Years,233,Capital Appreciation Strategy 233,Estate/Legacy Planning,5,2,19.88
233,Amy Hudson,2 to 5 Years,1,4,0,0,356898,6 to 10 Years,234,Speculation Strategy 234,Retirement,6,2,26.950000000000003
234,Gregory James,11 to 20 Years,1,3,0,0,913493,6 to 10 Years,235,Capital Appreciation Strategy 235,Charitable,5,2,24.59
235,Steven Berry,11 to 20 Years,0,3,4,1,338697,2 to 5 Years,236,Capital Appreciation Strategy 236,Education Planning,4,1,15.21
236,Christina Turner,Over 20 Years,0,2,0,3,136112,Less than 2 Years,237,Aggressive Income Strategy 237,Current Income,4,2,20.630000000000003
237,Anita Mcgee,Over 20 Years,3,4,2,1,405263,6 to 10 Years,238,Speculation Strategy 238,Retirement,5,1,51.449999999999996
238,James Carter,11 to 20 Years,3,1,4,2,211097,Over 20 Years,239,Income Strategy 239,Current Income,2,1,24.93
239,Raymond Reed,2 to 5 Years,1,4,0,3,549424,2 to 5 Years,240,Speculation Strategy 240,Retirement,7,2,16.63
240,Nancy Lee,11 to 20 Years,4,3,0,1,511203,2 to 5 Years,241,Capital Appreciation Strategy 241,Education Planning,5,2,17.299999999999997
241,Brandy Hernandez,Over 20 Years,4,2,0,3,200167,11 to 20 Years,242,Aggressive Income Strategy 242,Estate/Legacy Planning,3,1,24.86
242,Benjamin Ross,Less than 2 Years,2,3,1,0,800945,Over 20 Years,243,Capital Appreciation Strategy 243,Education Planning,4,1,21.97
243,Regina Briggs,2 to 5 Years,1,4,0,3,922847,Over 20 Years,244,Speculation Strategy 244,Retirement,7,2,31.5
244,Michael Davis,Immediate,1,4,3,2,426975,Over 20 Years,245,Speculation Strategy 245,Wealth Accumulation/Investment,6,2,28.63
245,Louis Petersen,11 to 20 Years,0,3,1,4,673250,Over 20 Years,246,Capital Appreciation Strategy 246,Health Care/Long Term Care,6,2,57.879999999999995
246,Amy Thomas,Immediate,2,1,3,0,645985,2 to 5 Years,247,Income Strategy 247,Estate/Legacy Planning,1,1,25.82
247,Brianna Saunders,Over 20 Years,0,2,3,4,972296,2 to 5 Years,248,Aggressive Income Strategy 248,Charitable,4,2,18.099999999999998
248,Jonathan Butler,2 to 5 Years,2,1,4,3,544207,Less than 2 Years,249,Income Strategy 249,Charitable,2,0,17.02
249,Christopher Johnson,Over 20 Years,0,2,0,1,180315,Less than 2 Years,250,Aggressive Income Strategy 250,Current Income,4,2,11.459999999999999
250,Karen Hicks,Less than 2 Years,0,1,3,0,715419,11 to 20 Years,251,Income Strategy 251,Retirement,1,1,25.180000000000003
251,Donna Perez,Over 20 Years,3,2,0,4,585654,Less than 2 Years,252,Aggressive Income Strategy 252,Major Purchase/Expense,4,1,17.53
252,Jason Cabrera,11 to 20 Years,2,4,0,3,464433,Less than 2 Years,253,Speculation Strategy 253,Charitable,6,1,30.330000000000002
253,Jonathan Erickson,6 to 10 Years,0,3,0,2,477573,Over 20 Years,254,Capital Appreciation Strategy 254,Wealth Accumulation/Investment,5,2,21.43
254,Robert West,Immediate,1,2,0,4,367702,11 to 20 Years,255,Aggressive Income Strategy 255,Wealth Accumulation/Investment,4,1,49.62
255,Stacy Gilbert,Less than 2 Years,0,2,4,3,805232,6 to 10 Years,256,Aggressive Income Strategy 256,Estate/Legacy Planning,3,1,39.6
256,Tammy Hernandez,Less than 2 Years,0,1,2,0,343647,Lump Sum,257,Income Strategy 257,Estate/Legacy Planning,1,1,18.84
257,Tonya Edwards,11 to 20 Years,2,4,0,3,834401,11 to 20 Years,258,Speculation Strategy 258,Wealth Accumulation/Investment,7,2,31.35
258,Brian Fleming,2 to 5 Years,0,3,0,1,163434,Lump Sum,259,Capital Appreciation Strategy 259,Current Income,5,2,23.09
259,Barbara Mcintyre,Less than 2 Years,0,4,0,1,61808,11 to 20 Years,260,Speculation Strategy 260,Current Income,6,2,22.81
260,Melanie Walsh,6 to 10 Years,1,3,0,2,952048,Lump Sum,261,Capital Appreciation Strategy 261,Current Income,4,1,21.8
261,Justin Graham,2 to 5 Years,0,4,2,3,691970,Lump Sum,262,Speculation Strategy 262,Current Income,6,1,27.88
262,Susan Hammond,Immediate,3,2,1,4,562012,Less than 2 Years,263,Aggressive Income Strategy 263,Charitable,4,1,433.79
263,Erin Golden,6 to 10 Years,4,2,1,3,841107,2 to 5 Years,264,Aggressive Income Strategy 264,Education Planning,3,1,18.72
264,Jessica Wilson,6 to 10 Years,1,3,0,2,73542,11 to 20 Years,265,Capital Appreciation Strategy 265,Health Care/Long Term Care,4,1,21.709999999999997
265,Ashley Baldwin,6 to 10 Years,4,1,0,0,164110,2 to 5 Years,266,Income Strategy 266,Estate/Legacy Planning,1,1,36.39
266,Benjamin Flowers,2 to 5 Years,0,3,1,0,171546,11 to 20 Years,267,Capital Appreciation Strategy 267,Wealth Accumulation/Investment,4,1,36.919999999999995
267,Jean Bradley,6 to 10 Years,0,3,0,0,644888,Lump Sum,268,Capital Appreciation Strategy 268,Current Income,5,2,23.72
268,Cole Hall,2 to 5 Years,0,2,1,4,716256,Over 20 Years,269,Aggressive Income Strategy 269,Charitable,4,1,20.45
269,Michelle Hall DDS,11 to 20 Years,0,4,1,3,972392,2 to 5 Years,270,Speculation Strategy 270,Health Care/Long Term Care,6,1,32.57
270,Destiny Hamilton,2 to 5 Years,0,4,3,1,971822,Lump Sum,271,Speculation Strategy 271,Estate/Legacy Planning,5,1,17.82
271,Jared Morris,2 to 5 Years,1,2,3,0,382813,Over 20 Years,272,Aggressive Income Strategy 272,Charitable,3,2,17.8
272,Derrick Howard,Immediate,1,3,0,2,19920,Less than 2 Years,273,Capital Appreciation Strategy 273,Major Purchase/Expense,5,2,24.08
273,Stephen Simmons,11 to 20 Years,4,2,1,3,670596,Over 20 Years,274,Aggressive Income Strategy 274,Current Income,3,1,29.26
274,Christian Moore,6 to 10 Years,0,1,2,3,621382,Over 20 Years,275,Income Strategy 275,Wealth Accumulation/Investment,2,1,20.560000000000002
275,Mary Henderson,11 to 20 Years,0,2,1,4,689180,6 to 10 Years,276,Aggressive Income Strategy 276,Wealth Accumulation/Investment,4,1,44.21
276,Jay Whitaker,11 to 20 Years,0,2,4,3,524420,2 to 5 Years,277,Aggressive Income Strategy 277,Estate/Legacy Planning,3,1,26.16
277,Andrew Henderson,Immediate,4,2,1,3,650508,11 to 20 Years,278,Aggressive Income Strategy 278,Retirement,3,1,29.57
278,Alexandria Brooks,Less than 2 Years,2,1,0,4,572445,11 to 20 Years,279,Income Strategy 279,Wealth Accumulation/Investment,2,1,36.09
279,Laura Baker,Immediate,4,2,0,1,600983,Lump Sum,280,Aggressive Income Strategy 280,Major Purchase/Expense,3,1,23.72
280,Andrew Bean,Immediate,3,2,0,1,854129,11 to 20 Years,281,Aggressive Income Strategy 281,Health Care/Long Term Care,3,1,21.69
281,Crystal Owens,Immediate,2,4,0,1,200264,Over 20 Years,282,Speculation Strategy 282,Current Income,5,1,21.23
282,Austin Zuniga,11 to 20 Years,3,1,2,0,656265,6 to 10 Years,283,Income Strategy 283,Charitable,1,0,15.03
283,Christine Adams,Immediate,0,3,4,2,643118,Lump Sum,284,Capital Appreciation Strategy 284,Education Planning,5,2,22.75
284,Ashley Snow,Over 20 Years,1,3,4,0,467727,Lump Sum,285,Capital Appreciation Strategy 285,Charitable,4,1,13.459999999999999
285,Cynthia Johnson,6 to 10 Years,0,3,1,4,884348,6 to 10 Years,286,Capital Appreciation Strategy 286,Education Planning,6,2,16.93
286,Jonathan Johnson,11 to 20 Years,2,3,0,4,460476,6 to 10 Years,287,Capital Appreciation Strategy 287,Retirement,5,1,20.830000000000002
287,Alexis Mccarthy,Over 20 Years,0,2,0,4,770472,6 to 10 Years,288,Aggressive Income Strategy 288,Major Purchase/Expense,4,1,25.6
288,Rachel Davis,2 to 5 Years,3,4,0,0,171503,Lump Sum,289,Speculation Strategy 289,Education Planning,6,2,20.27
289,Luis Garcia,2 to 5 Years,0,2,3,1,659331,Over 20 Years,290,Aggressive Income Strategy 290,Education Planning,3,1,16.03
290,Nichole Rose,6 to 10 Years,0,1,3,0,980898,Lump Sum,291,Income Strategy 291,Health Care/Long Term Care,1,1,24.77
291,Matthew Williams,2 to 5 Years,0,3,0,4,677526,2 to 5 Years,292,Capital Appreciation Strategy 292,Estate/Legacy Planning,5,1,20.830000000000002
292,Travis Hernandez,Over 20 Years,2,3,0,0,753424,6 to 10 Years,293,Capital Appreciation Strategy 293,Wealth Accumulation/Investment,5,2,31.0
293,Adam Jordan,Less than 2 Years,0,1,4,3,379130,2 to 5 Years,294,Income Strategy 294,Retirement,2,0,19.32
294,Mr. Bobby Lee MD,11 to 20 Years,1,2,3,4,528306,Less than 2 Years,295,Aggressive Income Strategy 295,Wealth Accumulation/Investment,4,2,21.46
295,Michael Ramirez,Immediate,0,4,2,1,327172,2 to 5 Years,296,Speculation Strategy 296,Retirement,5,1,18.990000000000002
296,James Montes,2 to 5 Years,1,4,3,0,213716,11 to 20 Years,297,Speculation Strategy 297,Wealth Accumulation/Investment,6,2,27.139999999999997
297,Peter Garcia,2 to 5 Years,3,1,2,0,507180,Lump Sum,298,Income Strategy 298,Retirement,1,1,21.73
298,Chris Moore,Over 20 Years,0,4,2,3,977279,Over 20 Years,299,Speculation Strategy 299,Wealth Accumulation/Investment,7,2,25.380000000000003
299,Andrew Mullen,2 to 5 Years,2,1,3,4,600483,Over 20 Years,300,Income Strategy 300,Retirement,2,0,28.76
300,Evan Young,6 to 10 Years,0,3,2,1,128108,6 to 10 Years,301,Capital Appreciation Strategy 301,Current Income,4,1,43.74
301,Catherine Mays,Immediate,0,1,0,4,76873,Lump Sum,302,Income Strategy 302,Estate/Legacy Planning,2,1,18.48
302,Christopher Bryant,Immediate,0,2,4,1,110408,Lump Sum,303,Aggressive Income Strategy 303,Retirement,4,2,119.48
303,Chase Nichols,Over 20 Years,1,4,0,3,970963,11 to 20 Years,304,Speculation Strategy 304,Health Care/Long Term Care,6,1,16.61
304,William Trevino,Immediate,0,3,0,2,453800,Lump Sum,305,Capital Appreciation Strategy 305,Education Planning,5,2,22.97
305,Mark Reed,Immediate,2,4,0,1,496969,Less than 2 Years,306,Speculation Strategy 306,Current Income,5,1,25.259999999999998
306,Wayne Hanson,Over 20 Years,0,1,4,3,630150,Over 20 Years,307,Income Strategy 307,Retirement,2,0,17.45
307,Christopher Huff,11 to 20 Years,3,4,0,2,938038,6 to 10 Years,308,Speculation Strategy 308,Retirement,6,2,25.09
308,Regina Stewart,11 to 20 Years,0,1,3,2,499170,Lump Sum,309,Income Strategy 309,Charitable,2,1,26.39
309,Howard Rollins,Over 20 Years,2,3,0,4,558861,Over 20 Years,310,Capital Appreciation Strategy 310,Retirement,5,1,21.66
310,Madison Williams,11 to 20 Years,4,1,0,2,340148,Less than 2 Years,311,Income Strategy 311,Estate/Legacy Planning,1,0,24.25
311,Joanna Lewis,Immediate,0,3,2,4,636331,Lump Sum,312,Capital Appreciation Strategy 312,Education Planning,5,1,21.87
312,Brian Daugherty,Over 20 Years,0,3,0,2,559747,Lump Sum,313,Capital Appreciation Strategy 313,Estate/Legacy Planning,4,1,18.61
313,Jim Fuentes,Immediate,4,3,0,1,601129,Lump Sum,314,Capital Appreciation Strategy 314,Charitable,4,1,29.26
314,Kimberly Davis,Less than 2 Years,3,2,1,4,331296,Over 20 Years,315,Aggressive Income Strategy 315,Charitable,4,2,17.14
315,Kayla Brown,6 to 10 Years,0,2,1,3,405567,Less than 2 Years,316,Aggressive Income Strategy 316,Current Income,4,2,19.52
316,Antonio Marks,Less than 2 Years,0,4,0,0,40832,6 to 10 Years,317,Speculation Strategy 317,Current Income,5,1,34.35
317,Courtney Hendrix,6 to 10 Years,0,2,4,1,240153,11 to 20 Years,318,Aggressive Income Strategy 318,Education Planning,3,1,17.669999999999998
318,Eric Ayers,Over 20 Years,4,1,0,2,940390,2 to 5 Years,319,Income Strategy 319,Charitable,2,1,30.19
319,Joshua Cook,6 to 10 Years,2,1,0,0,975015,Less than 2 Years,320,Income Strategy 320,Current Income,1,1,41.42
320,Natasha Hobbs,11 to 20 Years,4,3,2,1,990574,Over 20 Years,321,Capital Appreciation Strategy 321,Wealth Accumulation/Investment,4,1,19.56
321,Christopher Copeland,6 to 10 Years,0,2,4,3,152010,2 to 5 Years,322,Aggressive Income Strategy 322,Estate/Legacy Planning,4,2,39.269999999999996
322,Jessica Craig,2 to 5 Years,0,3,2,0,314792,2 to 5 Years,323,Capital Appreciation Strategy 323,Health Care/Long Term Care,4,1,21.990000000000002
323,Kathy Cantu,Immediate,2,4,1,3,790582,6 to 10 Years,324,Speculation Strategy 324,Charitable,6,1,22.52
324,Tyler Perez,11 to 20 Years,0,4,3,2,713019,Lump Sum,325,Speculation Strategy 325,Current Income,6,1,21.310000000000002
325,Nicholas Brown,Less than 2 Years,3,1,0,2,423794,Lump Sum,326,Income Strategy 326,Estate/Legacy Planning,1,0,19.41
326,Ryan Wolf,Less than 2 Years,0,1,4,3,713532,6 to 10 Years,327,Income Strategy 327,Major Purchase/Expense,2,1,19.13
327,Keith Le,Less than 2 Years,0,4,1,0,285170,2 to 5 Years,328,Speculation Strategy 328,Estate/Legacy Planning,6,2,27.72
328,Jessica Baird,Less than 2 Years,0,1,4,0,769934,6 to 10 Years,329,Income Strategy 329,Education Planning,1,1,18.970000000000002
329,Jason Williams,11 to 20 Years,0,4,2,3,73748,Over 20 Years,330,Speculation Strategy 330,Wealth Accumulation/Investment,6,1,40.5
330,Laura Jefferson,11 to 20 Years,2,3,0,1,833884,11 to 20 Years,331,Capital Appreciation Strategy 331,Charitable,4,1,22.759999999999998
331,Ryan Gutierrez,11 to 20 Years,1,3,0,2,888968,Over 20 Years,332,Capital Appreciation Strategy 332,Wealth Accumulation/Investment,4,1,20.49
332,Dakota Kelly,6 to 10 Years,0,1,3,0,958820,6 to 10 Years,333,Income Strategy 333,Wealth Accumulation/Investment,1,0,14.11
333,Emily Chang,6 to 10 Years,0,2,3,1,543938,6 to 10 Years,334,Aggressive Income Strategy 334,Estate/Legacy Planning,3,1,19.85
334,Lisa Summers,Less than 2 Years,0,1,0,2,719786,Less than 2 Years,335,Income Strategy 335,Retirement,2,1,16.919999999999998
335,Karen Oneal,2 to 5 Years,0,1,0,3,14767,11 to 20 Years,336,Income Strategy 336,Wealth Accumulation/Investment,2,0,30.31
336,Eric Chang,Less than 2 Years,4,3,0,1,740968,Lump Sum,337,Capital Appreciation Strategy 337,Estate/Legacy Planning,5,2,23.169999999999998
337,Lisa Prince,Immediate,4,1,2,3,764082,Less than 2 Years,338,Income Strategy 338,Estate/Legacy Planning,2,0,18.42
338,Marie Wood,Less than 2 Years,0,1,4,3,315780,Over 20 Years,339,Income Strategy 339,Retirement,2,1,51.980000000000004
339,Marvin White,Over 20 Years,0,3,1,4,59403,Over 20 Years,340,Capital Appreciation Strategy 340,Education Planning,6,2,14.219999999999999
340,Eric Wright,2 to 5 Years,0,3,0,0,576677,Lump Sum,341,Capital Appreciation Strategy 341,Charitable,5,2,101.38000000000001
341,Jennifer Lee,11 to 20 Years,3,4,1,0,484921,2 to 5 Years,342,Speculation Strategy 342,Major Purchase/Expense,6,2,26.240000000000002
342,Robert Underwood,Immediate,0,4,1,2,17239,11 to 20 Years,343,Speculation Strategy 343,Retirement,6,1,15.82
343,Bryan Collins,11 to 20 Years,0,2,3,1,94017,6 to 10 Years,344,Aggressive Income Strategy 344,Education Planning,4,2,17.88
344,Tara Smith,Immediate,0,4,3,0,732793,11 to 20 Years,345,Speculation Strategy 345,Charitable,6,2,13.94
345,Jason Williams,Over 20 Years,0,4,0,3,905790,Lump Sum,346,Speculation Strategy 346,Education Planning,7,2,18.55
346,Todd Barron,Over 20 Years,0,4,2,3,949210,Less than 2 Years,347,Speculation Strategy 347,Current Income,6,1,20.64
347,Nicholas Dixon,Over 20 Years,0,3,0,1,125155,6 to 10 Years,348,Capital Appreciation Strategy 348,Charitable,5,2,18.509999999999998
348,Thomas Williams,Immediate,1,3,4,0,961885,Over 20 Years,349,Capital Appreciation Strategy 349,Major Purchase/Expense,5,2,512.5899999999999
349,Richard Wells,Over 20 Years,4,2,0,0,826918,2 to 5 Years,350,Aggressive Income Strategy 350,Charitable,3,2,22.97
350,Michael Campbell,Immediate,0,3,2,1,88076,Lump Sum,351,Capital Appreciation Strategy 351,Charitable,4,1,18.58
351,Jesus Davidson,Less than 2 Years,0,3,0,2,670269,Over 20 Years,352,Capital Appreciation Strategy 352,Charitable,4,1,21.73
352,Margaret Miles,2 to 5 Years,0,3,2,1,344747,Over 20 Years,353,Capital Appreciation Strategy 353,Health Care/Long Term Care,4,1,21.97
353,Antonio Beck,Less than 2 Years,0,3,2,4,164341,2 to 5 Years,354,Capital Appreciation Strategy 354,Health Care/Long Term Care,5,1,15.740000000000002
354,Courtney Martin,Over 20 Years,0,2,3,1,815430,Less than 2 Years,355,Aggressive Income Strategy 355,Current Income,3,1,22.07
355,Sean Moran,Over 20 Years,3,4,0,1,336153,Less than 2 Years,356,Speculation Strategy 356,Retirement,6,2,65.53999999999999
356,Michael Black,Less than 2 Years,0,2,3,1,730636,Lump Sum,357,Aggressive Income Strategy 357,Health Care/Long Term Care,4,2,16.35
357,Jillian Hampton,Less than 2 Years,0,3,1,0,834444,Lump Sum,358,Capital Appreciation Strategy 358,Charitable,5,2,26.43
358,Michael Larson,2 to 5 Years,0,1,0,3,716971,Less than 2 Years,359,Income Strategy 359,Wealth Accumulation/Investment,2,0,21.77
359,Melissa Allison,Over 20 Years,0,1,2,4,509568,Less than 2 Years,360,Income Strategy 360,Current Income,2,0,34.65
360,Mackenzie Melton,6 to 10 Years,0,2,0,1,374354,Less than 2 Years,361,Aggressive Income Strategy 361,Major Purchase/Expense,3,1,56.940000000000005
361,Andrew Long,Less than 2 Years,2,3,0,0,254690,Over 20 Years,362,Capital Appreciation Strategy 362,Education Planning,5,2,21.13
362,Emily Gardner,Over 20 Years,0,4,3,2,450331,2 to 5 Years,363,Speculation Strategy 363,Current Income,6,2,29.9
363,Brian Hinton,Over 20 Years,0,1,0,2,912468,2 to 5 Years,364,Income Strategy 364,Education Planning,2,1,14.96
364,Dustin Oliver,11 to 20 Years,1,2,0,3,674789,2 to 5 Years,365,Aggressive Income Strategy 365,Retirement,4,2,26.44
365,Christina Morales,11 to 20 Years,0,4,3,2,557661,Lump Sum,366,Speculation Strategy 366,Charitable,6,1,33.44
366,Carla Tran,Less than 2 Years,0,1,2,4,195965,2 to 5 Years,367,Income Strategy 367,Major Purchase/Expense,2,1,20.810000000000002
367,Alyssa Osborne,Over 20 Years,0,3,0,1,399497,2 to 5 Years,368,Capital Appreciation Strategy 368,Wealth Accumulation/Investment,5,2,17.65
368,Derek Madden,6 to 10 Years,0,4,2,0,357660,6 to 10 Years,369,Speculation Strategy 369,Estate/Legacy Planning,5,1,20.3
369,George Tanner,Less than 2 Years,2,3,0,0,346429,Lump Sum,370,Capital Appreciation Strategy 370,Major Purchase/Expense,4,1,17.46
370,Jared Wall,2 to 5 Years,4,1,3,2,192435,2 to 5 Years,371,Income Strategy 371,Health Care/Long Term Care,2,1,35.06
371,Carrie Rose,Immediate,0,3,4,0,815763,11 to 20 Years,372,Capital Appreciation Strategy 372,Major Purchase/Expense,5,2,26.1
372,Jennifer Fernandez,Immediate,0,2,0,0,81094,6 to 10 Years,373,Aggressive Income Strategy 373,Health Care/Long Term Care,3,1,16.56
373,Keith Young,Less than 2 Years,2,1,4,0,467972,Less than 2 Years,374,Income Strategy 374,Major Purchase/Expense,1,0,17.89
374,Alejandro Henderson,Over 20 Years,0,2,4,3,492760,Over 20 Years,375,Aggressive Income Strategy 375,Wealth Accumulation/Investment,3,1,20.919999999999998
375,Dr. Michael Harris,11 to 20 Years,2,4,0,3,552196,11 to 20 Years,376,Speculation Strategy 376,Current Income,7,2,20.66
376,Randy Martin,2 to 5 Years,3,2,1,4,299564,2 to 5 Years,377,Aggressive Income Strategy 377,Retirement,4,2,19.939999999999998
377,Yolanda Holder,11 to 20 Years,0,4,3,2,868052,Over 20 Years,378,Speculation Strategy 378,Current Income,6,2,30.12
378,Jessica Vincent,11 to 20 Years,3,4,2,1,971263,2 to 5 Years,379,Speculation Strategy 379,Education Planning,5,1,37.269999999999996
379,Jared Morgan,Over 20 Years,2,3,0,1,490633,6 to 10 Years,380,Capital Appreciation Strategy 380,Retirement,4,1,25.97
380,David Edwards,6 to 10 Years,1,3,4,0,286301,Lump Sum,381,Capital Appreciation Strategy 381,Health Care/Long Term Care,5,2,24.4
381,Kevin Bennett,Less than 2 Years,2,4,0,3,508567,11 to 20 Years,382,Speculation Strategy 382,Charitable,7,2,19.36
382,Stephanie Rojas MD,Less than 2 Years,0,3,1,0,747751,6 to 10 Years,383,Capital Appreciation Strategy 383,Major Purchase/Expense,5,2,10.79
383,John Odom,Immediate,0,3,0,1,856908,2 to 5 Years,384,Capital Appreciation Strategy 384,Estate/Legacy Planning,4,1,21.41
384,Caroline Rivas,Over 20 Years,4,1,2,3,295525,Less than 2 Years,385,Income Strategy 385,Wealth Accumulation/Investment,2,1,18.47
385,Robert Garcia,6 to 10 Years,1,2,0,3,365589,Less than 2 Years,386,Aggressive Income Strategy 386,Major Purchase/Expense,3,1,18.09
386,Savannah Lynn,6 to 10 Years,0,4,2,0,835733,Less than 2 Years,387,Speculation Strategy 387,Charitable,5,1,10.15
387,Tamara Pruitt,Immediate,0,3,2,1,373464,Over 20 Years,388,Capital Appreciation Strategy 388,Health Care/Long Term Care,4,1,18.38
388,Jordan Gibbs,Less than 2 Years,0,4,2,3,643932,Less than 2 Years,389,Speculation Strategy 389,Current Income,7,2,
389,Jessica Evans,11 to 20 Years,0,1,0,4,253185,2 to 5 Years,390,Income Strategy 390,Current Income,2,1,20.19
390,Johnny Nunez,6 to 10 Years,0,1,4,2,142082,Lump Sum,391,Income Strategy 391,Charitable,1,0,16.88
391,Brandon Garcia,11 to 20 Years,4,3,1,0,666595,Over 20 Years,392,Capital Appreciation Strategy 392,Charitable,4,1,21.44
392,Brandon Hunter DDS,Over 20 Years,2,3,0,0,804852,6 to 10 Years,393,Capital Appreciation Strategy 393,Major Purchase/Expense,5,2,21.13
393,Matthew Rush,Immediate,0,3,1,4,648568,2 to 5 Years,394,Capital Appreciation Strategy 394,Major Purchase/Expense,5,1,19.2
